lead,criterion,predictor,comparison_id,focal_strategy,comparator_strategy,quartile,meters,predictor_mean,focal_error_mean,comparator_error_mean,absolute_gain_mean,absolute_gain_median,relative_gain_mean_pct,relative_gain_median_pct,positive_gain_share
1,mae,test_z_clock_rmse,source_transfer,direct_transfer,cer_scratch_limited,1,233,0.4468995900958787,0.2861397491212828,0.2994530705598245,0.013313321438541753,0.009121909584419996,4.750544015173167,3.3945195189817476,0.7682403433476395
1,mae,test_z_clock_rmse,source_transfer,direct_transfer,cer_scratch_limited,2,232,0.6005975405813245,0.2610706410139198,0.2772321469975764,0.016161505983656597,0.012949094135932857,6.146044937018793,5.854965433885424,0.8275862068965517
1,mae,test_z_clock_rmse,source_transfer,direct_transfer,cer_scratch_limited,3,232,0.7448170201841541,0.24729906299047325,0.26534814391141043,0.01804908092093717,0.013408070532185637,7.063293492702632,6.184851077311921,0.8663793103448276
1,mae,test_z_clock_rmse,source_transfer,direct_transfer,cer_scratch_limited,4,232,1.05513645174447,0.2235053482392974,0.23787070388296316,0.014365355643665773,0.010154067496256348,2.068305579420167,6.2407915282847215,0.7801724137931034
1,mae,test_z_clock_rmse,fine_tuning,fine_tuning,direct_transfer,1,233,0.4468995900958787,0.2970066433501309,0.2861397491212828,-0.010866894228848173,-0.010163122783495487,-3.955354907747452,-3.760882217710807,0.0
1,mae,test_z_clock_rmse,fine_tuning,fine_tuning,direct_transfer,2,232,0.6005975405813245,0.2716760822173101,0.2610706410139198,-0.010605441203390239,-0.010388159012984205,-4.220649701749752,-3.788771702912989,0.0
1,mae,test_z_clock_rmse,fine_tuning,fine_tuning,direct_transfer,3,232,0.7448170201841541,0.2565923574708735,0.24729906299047325,-0.009293294480400248,-0.00860264890939988,-4.090699487366139,-3.8799166025729903,0.0
1,mae,test_z_clock_rmse,fine_tuning,fine_tuning,direct_transfer,4,232,1.05513645174447,0.23294654295046197,0.2235053482392974,-0.009441194711164579,-0.00860901700835029,-4.960437261904723,-4.279499152634412,0.008620689655172414
1,mae,test_z_clock_rmse,full_data,cer_scratch_full,cer_scratch_limited,1,233,0.4468995900958787,0.2814379831700302,0.2994530705598245,0.018015087389794314,0.0129505772018767,6.091100209351067,4.800636134760593,0.8841201716738197
1,mae,test_z_clock_rmse,full_data,cer_scratch_full,cer_scratch_limited,2,232,0.6005975405813245,0.2566679361057419,0.2772321469975764,0.02056421089183449,0.016636563320996584,7.925364169925787,7.140395738528263,0.9008620689655172
1,mae,test_z_clock_rmse,full_data,cer_scratch_full,cer_scratch_limited,3,232,0.7448170201841541,0.245719416351057,0.26534814391141043,0.019628727560353373,0.014918150996465845,7.65120330224614,6.532871716932341,0.8836206896551724
1,mae,test_z_clock_rmse,full_data,cer_scratch_full,cer_scratch_limited,4,232,1.05513645174447,0.21369068667968544,0.23787070388296316,0.024180017203277712,0.01660943842598985,6.173653836364316,7.528095563810744,0.853448275862069
1,mae,test_z_clock_rmse,direct_vs_full,direct_transfer,cer_scratch_full,1,233,0.4468995900958787,0.2861397491212828,0.2814379831700302,-0.004701765951252561,-0.0030325751450738236,-1.4727799715755356,-1.082510178727507,0.3905579399141631
1,mae,test_z_clock_rmse,direct_vs_full,direct_transfer,cer_scratch_full,2,232,0.6005975405813245,0.2610706410139198,0.2566679361057419,-0.004402704908177892,-0.0025900495610179514,-2.119547930400658,-1.0685089017945515,0.39655172413793105
1,mae,test_z_clock_rmse,direct_vs_full,direct_transfer,cer_scratch_full,3,232,0.7448170201841541,0.24729906299047325,0.245719416351057,-0.0015796466394161998,-0.000574092290720099,-0.8360288357860824,-0.4060615344706288,0.4698275862068966
1,mae,test_z_clock_rmse,direct_vs_full,direct_transfer,cer_scratch_full,4,232,1.05513645174447,0.2235053482392974,0.21369068667968544,-0.009814661559611939,-0.004043288020605409,-6.421560797825219,-1.99136805902505,0.41810344827586204
1,mae,test_z_clock_rmse,fine_tuning_vs_limited,fine_tuning,cer_scratch_limited,1,233,0.4468995900958787,0.2970066433501309,0.2994530705598245,0.0024464272096935804,-0.0008825730064183634,0.9737374831523778,-0.33714267135379433,0.47639484978540775
1,mae,test_z_clock_rmse,fine_tuning_vs_limited,fine_tuning,cer_scratch_limited,2,232,0.6005975405813245,0.2716760822173101,0.2772321469975764,0.0055560647802663605,0.004096603076167403,2.136609916138852,1.807238101518057,0.5991379310344828
1,mae,test_z_clock_rmse,fine_tuning_vs_limited,fine_tuning,cer_scratch_limited,3,232,0.7448170201841541,0.2565923574708735,0.26534814391141043,0.008755786440536924,0.005355141928468692,3.2661380500600443,2.616050752715328,0.6379310344827587
1,mae,test_z_clock_rmse,fine_tuning_vs_limited,fine_tuning,cer_scratch_limited,4,232,1.05513645174447,0.23294654295046197,0.23787070388296316,0.004924160932501195,0.0030745427972814,-3.240563447402312,2.4177259306477854,0.5818965517241379
1,mae,test_z_clock_rmse,full_vs_fine_tuning,cer_scratch_full,fine_tuning,1,233,0.4468995900958787,0.2814379831700302,0.2970066433501309,0.015568660180100734,0.01292790785657369,4.915921770675675,4.601775651685023,0.8412017167381974
1,mae,test_z_clock_rmse,full_vs_fine_tuning,cer_scratch_full,fine_tuning,2,232,0.6005975405813245,0.2566679361057419,0.2716760822173101,0.01500814611156813,0.012387104699775553,5.296221025545404,4.877092427401644,0.8491379310344828
1,mae,test_z_clock_rmse,full_vs_fine_tuning,cer_scratch_full,fine_tuning,3,232,0.7448170201841541,0.245719416351057,0.2565923574708735,0.010872941119816447,0.00828211748310699,4.2995713592480795,3.8666539667693174,0.7758620689655172
1,mae,test_z_clock_rmse,full_vs_fine_tuning,cer_scratch_full,fine_tuning,4,232,1.05513645174447,0.21369068667968544,0.23294654295046197,0.01925585627077652,0.0119955096014401,7.789724747265835,5.844347886309927,0.7198275862068966
1,mae,test_mean_abs_change_pct,source_transfer,direct_transfer,cer_scratch_limited,1,233,6.5005249337291255,0.2506174600460795,0.25640084996996926,0.005783389923889771,0.005569147165358002,3.556263460915652,2.5212820876345905,0.6995708154506438
1,mae,test_mean_abs_change_pct,source_transfer,direct_transfer,cer_scratch_limited,2,232,19.598732108118142,0.2552301270210663,0.26404767919713296,0.008817552176066685,0.007941001709803469,4.236884576638007,3.4911187457810064,0.7672413793103449
1,mae,test_mean_abs_change_pct,source_transfer,direct_transfer,cer_scratch_limited,3,232,39.58503196415356,0.25626175996884837,0.27246380244624513,0.016202042477396754,0.01431780629530309,6.2409567710050045,5.948512272816886,0.853448275862069
1,mae,test_mean_abs_change_pct,source_transfer,direct_transfer,cer_scratch_limited,4,232,137.51540675880167,0.25605856764395835,0.2871773036547627,0.031118736010804345,0.0240110584137036,5.999230976765826,9.858511755388,0.9224137931034483
1,mae,test_mean_abs_change_pct,fine_tuning,fine_tuning,direct_transfer,1,233,6.5005249337291255,0.26328080688105265,0.2506174600460795,-0.012663346834973126,-0.01317623498722903,-5.30022114015232,-5.119905137577503,0.0
1,mae,test_mean_abs_change_pct,fine_tuning,fine_tuning,direct_transfer,2,232,19.598732108118142,0.26617787872993337,0.2552301270210663,-0.010947751708867085,-0.010317858375329197,-4.486621375625527,-4.1136866344143295,0.0
1,mae,test_mean_abs_change_pct,fine_tuning,fine_tuning,direct_transfer,3,232,39.58503196415356,0.2656560317417538,0.25626175996884837,-0.009394271772905359,-0.00847612692697751,-3.9978701175480564,-3.4378855661125893,0.0
1,mae,test_mean_abs_change_pct,fine_tuning,fine_tuning,direct_transfer,4,232,137.51540675880167,0.2632522786208172,0.25605856764395835,-0.007193710976858855,-0.006398850559174996,-3.4366318882335216,-2.804597017464663,0.008620689655172414
1,mae,test_mean_abs_change_pct,full_data,cer_scratch_full,cer_scratch_limited,1,233,6.5005249337291255,0.23927840922646673,0.25640084996996926,0.01712244074350256,0.015229659949701907,7.483544517922095,6.0828214475557045,0.9141630901287554
1,mae,test_mean_abs_change_pct,full_data,cer_scratch_full,cer_scratch_limited,2,232,19.598732108118142,0.2482597804566078,0.26404767919713296,0.015787898740525153,0.012435840877137547,6.380678533231848,5.5164037656386,0.8706896551724138
1,mae,test_mean_abs_change_pct,full_data,cer_scratch_full,cer_scratch_limited,3,232,39.58503196415356,0.25320231509267066,0.27246380244624513,0.019261487353574476,0.01475298667337581,7.4357981012736545,6.297849307404656,0.8836206896551724
1,mae,test_mean_abs_change_pct,full_data,cer_scratch_full,cer_scratch_limited,4,232,137.51540675880167,0.2569572398322503,0.2871773036547627,0.030220063822512404,0.0186926629233371,6.535298450336562,7.805216584824034,0.853448275862069
1,mae,test_mean_abs_change_pct,direct_vs_full,direct_transfer,cer_scratch_full,1,233,6.5005249337291255,0.2506174600460795,0.23927840922646673,-0.01133905081961279,-0.011197527958396403,-4.486535285569243,-4.823480149629553,0.15879828326180256
1,mae,test_mean_abs_change_pct,direct_vs_full,direct_transfer,cer_scratch_full,2,232,19.598732108118142,0.2552301270210663,0.2482597804566078,-0.0069703465644584675,-0.004500583031340821,-2.570008022473925,-1.7424763667104035,0.3017241379310345
1,mae,test_mean_abs_change_pct,direct_vs_full,direct_transfer,cer_scratch_full,3,232,39.58503196415356,0.25626175996884837,0.25320231509267066,-0.0030594448761777234,-0.00022196857973093287,-1.522679711455434,-0.1315334548710053,0.49137931034482757
1,mae,test_mean_abs_change_pct,direct_vs_full,direct_transfer,cer_scratch_full,4,232,137.51540675880167,0.25605856764395835,0.2569572398322503,0.0008986721882919395,0.006392731788484346,-2.25770419145961,2.8582717356192524,0.7241379310344828
1,mae,test_mean_abs_change_pct,fine_tuning_vs_limited,fine_tuning,cer_scratch_limited,1,233,6.5005249337291255,0.26328080688105265,0.25640084996996926,-0.006879956911083353,-0.005518778642685573,-1.4922695313348169,-2.3644130719281775,0.2875536480686695
1,mae,test_mean_abs_change_pct,fine_tuning_vs_limited,fine_tuning,cer_scratch_limited,2,232,19.598732108118142,0.26617787872993337,0.26404767919713296,-0.0021301995328004003,-0.001283776214653004,-0.05052941178820251,-0.5859734789728587,0.4698275862068966
1,mae,test_mean_abs_change_pct,fine_tuning_vs_limited,fine_tuning,cer_scratch_limited,3,232,39.58503196415356,0.2656560317417538,0.27246380244624513,0.006807770704491394,0.006413566677007203,2.4786787088218367,2.708175424133921,0.6724137931034483
1,mae,test_mean_abs_change_pct,fine_tuning_vs_limited,fine_tuning,cer_scratch_limited,4,232,137.51540675880167,0.2632522786208172,0.2871773036547627,0.02392502503394549,0.01739695909200009,2.210671576829832,7.468270348574826,0.8663793103448276
1,mae,test_mean_abs_change_pct,full_vs_fine_tuning,cer_scratch_full,fine_tuning,1,233,6.5005249337291255,0.23927840922646673,0.26328080688105265,0.024002397654585915,0.023897538581019617,8.8308118239349,8.853369410422188,0.9356223175965666
1,mae,test_mean_abs_change_pct,full_vs_fine_tuning,cer_scratch_full,fine_tuning,2,232,19.598732108118142,0.2482597804566078,0.26617787872993337,0.017918098273325554,0.014845029435325757,6.226689224223039,5.5449569299413835,0.9137931034482759
1,mae,test_mean_abs_change_pct,full_vs_fine_tuning,cer_scratch_full,fine_tuning,3,232,39.58503196415356,0.25320231509267066,0.2656560317417538,0.012453716649083083,0.008565712137713039,4.726004165133189,3.081978199056305,0.8405172413793104
1,mae,test_mean_abs_change_pct,full_vs_fine_tuning,cer_scratch_full,fine_tuning,4,232,137.51540675880167,0.2569572398322503,0.2632522786208172,0.006295038788566916,-9.097433123783638e-05,2.50105916335223,-0.03315543855434499,0.4956896551724138
1,mae,test_low_share_abs_change_pp,source_transfer,direct_transfer,cer_scratch_limited,1,233,0.3774889644805708,0.3020820070467314,0.3229175425987055,0.020835535551974062,0.014295326152200694,6.665947115881683,5.213144772450862,0.8283261802575107
1,mae,test_low_share_abs_change_pp,source_transfer,direct_transfer,cer_scratch_limited,2,232,3.1579828658870066,0.259314703338375,0.27114566367314147,0.011830960334766497,0.009473454326554526,5.040151249911063,4.274354055887847,0.8362068965517241
1,mae,test_low_share_abs_change_pp,source_transfer,direct_transfer,cer_scratch_limited,3,232,8.19414557490423,0.23962185980797165,0.25402462292752037,0.014402763119548788,0.009497788672529442,5.940988410110653,4.99502409618856,0.8189655172413793
1,mae,test_low_share_abs_change_pp,source_transfer,direct_transfer,cer_scratch_limited,4,232,24.74905530954693,0.21692751454290615,0.23171509618672229,0.014787581643816121,0.01403658473781489,2.372845200563478,7.302750484446172,0.7586206896551724
1,mae,test_low_share_abs_change_pp,fine_tuning,fine_tuning,direct_transfer,1,233,0.3774889644805708,0.31306694225877324,0.3020820070467314,-0.010984935212041818,-0.010557058016892495,-3.8388217101799387,-3.582288083230191,0.0
1,mae,test_low_share_abs_change_pp,fine_tuning,fine_tuning,direct_transfer,2,232,3.1579828658870066,0.2696762347121516,0.259314703338375,-0.010361531373776597,-0.009529535960678459,-4.23985762758221,-3.985392362613951,0.0
1,mae,test_low_share_abs_change_pp,fine_tuning,fine_tuning,direct_transfer,3,232,8.19414557490423,0.2492629672539366,0.23962185980797165,-0.009641107445964943,-0.009172485006274655,-4.251966538781761,-3.9033755849773524,0.004310344827586207
