comparison,comparison_code,outcome,G1,G2,G3,G4
Direct Transfer over Scratch Limited,direct_over_limited,MAE Gain (kWh),0.00815289308202617,0.015309340660327138,0.018368881234283915,0.024696987658362347
Direct Transfer over Scratch Limited,direct_over_limited,Relative MAE Gain (%),1.6855607294975743,3.3864182441899566,5.010470957957303,6.759407716873253
Direct Transfer over Scratch Limited,direct_over_limited,Positive MAE households (%),53.90070921985816,71.38461538461539,81.17283950617285,88.48920863309353
Direct Transfer over Scratch Limited,direct_over_limited,RMSE Gain (kWh),0.02423072019464549,0.03428616522593057,0.03667940141618072,0.038765634738700226
Direct Transfer over Scratch Limited,direct_over_limited,Positive RMSE households (%),96.45390070921985,94.76923076923077,99.38271604938271,99.28057553956835
Direct Transfer over Scratch Limited,direct_over_limited,sMAPE Gain (pp),-0.27210941102427344,0.5659096715707778,1.1767933444297276,2.4702499931654014
Direct Transfer over Scratch Limited,direct_over_limited,Positive sMAPE households (%),39.00709219858156,53.53846153846153,60.802469135802475,73.38129496402878
Fine Tuning over Direct Transfer,fine_tuning_over_direct,MAE Gain (kWh),-0.01459661224451918,-0.014553253433770274,-0.01484575062851898,-0.012802614839388321
Fine Tuning over Direct Transfer,fine_tuning_over_direct,Relative MAE Gain (%),-5.514873586733306,-4.650949149702476,-5.162175468809816,-4.665341921315127
Fine Tuning over Direct Transfer,fine_tuning_over_direct,Positive MAE households (%),4.25531914893617,0.6153846153846154,0.30864197530864196,0.7194244604316548
Fine Tuning over Direct Transfer,fine_tuning_over_direct,RMSE Gain (kWh),-0.0017640741746707354,-0.0006972951796155037,-0.0027983017013525646,-0.0027487154287901636
Fine Tuning over Direct Transfer,fine_tuning_over_direct,Positive RMSE households (%),39.00709219858156,53.84615384615385,26.851851851851855,30.935251798561154
Fine Tuning over Direct Transfer,fine_tuning_over_direct,sMAPE Gain (pp),-3.804118398424096,-3.2084985492390605,-3.48548893389245,-2.865443300767568
Fine Tuning over Direct Transfer,fine_tuning_over_direct,Positive sMAPE households (%),3.546099290780142,0.6153846153846154,0.6172839506172839,1.4388489208633095
Scratch Full over Scratch Limited,full_over_limited,MAE Gain (kWh),0.01016567971707288,0.0169642798539375,0.020000000644851915,0.021476246863791515
Scratch Full over Scratch Limited,full_over_limited,Relative MAE Gain (%),2.10046496363172,3.4535402032422247,4.455327549569847,5.3095402034437
Scratch Full over Scratch Limited,full_over_limited,Positive MAE households (%),60.28368794326241,71.38461538461539,75.0,68.34532374100719
Scratch Full over Scratch Limited,full_over_limited,RMSE Gain (kWh),0.03442716625827247,0.04809219750758883,0.05132926968398109,0.06253650938531125
