k,seed,run_scope,reference_seed,cluster_id_aligned_to_reference,local_slot,prototype_zscore,fit_eligible_n,all_assigned_n,profile_group,local_time
4,71,focused,42,3,1,-0.3533593780384335,1167,1181,3,00:00
4,71,focused,42,3,2,-0.7296583041726186,1167,1181,3,00:30
4,71,focused,42,3,3,-0.8592433006402194,1167,1181,3,01:00
4,71,focused,42,3,4,-0.9039427821162114,1167,1181,3,01:30
4,71,focused,42,3,5,-0.8990168586845504,1167,1181,3,02:00
4,71,focused,42,3,6,-0.8995281143908056,1167,1181,3,02:30
4,71,focused,42,3,7,-0.8979546646553125,1167,1181,3,03:00
4,71,focused,42,3,8,-0.956836983476734,1167,1181,3,03:30
4,71,focused,42,3,9,-1.0723825276933256,1167,1181,3,04:00
4,71,focused,42,3,10,-1.2665469952044677,1167,1181,3,04:30
4,71,focused,42,3,11,-1.0311009176301549,1167,1181,3,05:00
4,71,focused,42,3,12,-0.9806150153047796,1167,1181,3,05:30
4,71,focused,42,3,13,-0.9917689092336046,1167,1181,3,06:00
4,71,focused,42,3,14,-0.8193107468921519,1167,1181,3,06:30
4,71,focused,42,3,15,-0.4905546162820258,1167,1181,3,07:00
4,71,focused,42,3,16,-0.0584768514558072,1167,1181,3,07:30
4,71,focused,42,3,17,0.6568605699472033,1167,1181,3,08:00
4,71,focused,42,3,18,0.0312150111606171,1167,1181,3,08:30
4,71,focused,42,3,19,0.1230553843723796,1167,1181,3,09:00
4,71,focused,42,3,20,-0.3047765675208627,1167,1181,3,09:30
4,71,focused,42,3,21,-0.111974807167048,1167,1181,3,10:00
4,71,focused,42,3,22,-0.1376431917817331,1167,1181,3,10:30
4,71,focused,42,3,23,-0.1351751414265194,1167,1181,3,11:00
4,71,focused,42,3,24,-0.1353203237513167,1167,1181,3,11:30
4,71,focused,42,3,25,-0.1351535879930027,1167,1181,3,12:00
4,71,focused,42,3,26,-0.135228143702254,1167,1181,3,12:30
4,71,focused,42,3,27,-0.1350483325578883,1167,1181,3,13:00
4,71,focused,42,3,28,-0.1350483325578883,1167,1181,3,13:30
4,71,focused,42,3,29,-0.1352989925573018,1167,1181,3,14:00
4,71,focused,42,3,30,-0.1354948695477663,1167,1181,3,14:30
4,71,focused,42,3,31,-0.1428231014895827,1167,1181,3,15:00
4,71,focused,42,3,32,-0.0577671627060173,1167,1181,3,15:30
4,71,focused,42,3,33,-0.2508675503059274,1167,1181,3,16:00
4,71,focused,42,3,34,-0.5539958753259737,1167,1181,3,16:30
